OOI ID,Name,Object Type,Speed,Initial Behaviour,EncounterBehaviour
0,Tethered Animal Avatar,StaticOOI,1,Patrol,None

X position, Y position, Z position, X rotation, Y rotation, Z rotation, X scale, Y scale, Z scale, TimeSinceLastUpdate
N:PreStim Started,,,,,,,,,20241104_141454.914668
0,0,0,0,0,0,1,1,1,0.01228221
0,0,0,0,0,0,1,1,1,0.01228221
0,0,0,0,0,0,1,1,1,0.02
0,0,0,0,0,0,1,1,1,0.006060576
0,0,0,0,0,0,1,1,1,0.006060788
0,0,0,0,0,0,1,1,1,0.006060651
0,0,0,0,0,0,1,1,1,0.006060718
0,0,0,0,0,0,1,1,1,0.006060709
0,0,0,0,0,0,1,1,1,0.006060554
0,0,0,0,0,0,1,1,1,0.006060835
0,0,0,0,0,0,1,1,1,0.006060608
0,0,0,0,0,0,1,1,1,0.006060756
0,0,0,0,0,0,1,1,1,0.006060763
0,0,0,0,0,0,1,1,1,0.006060873
0,0,0,0,0,0,1,1,1,0.006060602
0,0,0,0,0,0,1,1,1,0.006060682
0,0,0,0,0,0,1,1,1,0.006060594
0,0,0,0,0,0,1,1,1,0.006061036
0,0,0,0,0,0,1,1,1,0.006060642
0,0,0,0,0,0,1,1,1,0.006060409
0,0,0,0,0,0,1,1,1,0.006060763
0,0,0,0,0,0,1,1,1,0.006060964
0,0,0,0,0,0,1,1,1,0.006060431
0,0,0,0,0,0,1,1,1,0.00606082
0,0,0,0,0,0,1,1,1,0.006060915
0,0,0,0,0,0,1,1,1,0.006060551
0,0,0,0,0,0,1,1,1,0.006060566
0,0,0,0,0,0,1,1,1,0.006060776
0,0,0,0,0,0,1,1,1,0.006060728
0,0,0,0,0,0,1,1,1,0.006060736
0,0,0,0,0,0,1,1,1,0.006060704
0,0,0,0,0,0,1,1,1,0.006060565
0,0,0,0,0,0,1,1,1,0.00606087
0,0,0,0,0,0,1,1,1,0.006060788
0,0,0,0,0,0,1,1,1,0.006060566
0,0,0,0,0,0,1,1,1,0.006060957
0,0,0,0,0,0,1,1,1,0.006060432
0,0,0,0,0,0,1,1,1,0.006060709
0,0,0,0,0,0,1,1,1,0.006060696
0,0,0,0,0,0,1,1,1,0.006060796
0,0,0,0,0,0,1,1,1,0.00606071
